['AHCYL1', 'ITPR1', 'ATP2A2', 'ITPR2', 'PSEN2']
['AHCYL2', 'BHMT2', 'BHMT', 'SDSL', 'LDHAL6A']
['AHI1', 'TCTN3', 'B9D1', 'B9D2', 'CC2D2A']
['AHNAK', 'PLEC', 'HSPB3', 'MAPKAPK2', 'MAPK14']
['AHNAK2', 'AHNAK', 'ANXA2', 'DYSF', 'SGCD']
['AHR', 'CYP1A1', 'ARNT', 'EIF5B', 'RPL29']
['AHRR', 'ARNT2', 'HIF3A', 'EGLN2', 'SIAH1']
['AHSA1', 'PTGES3', 'AR', 'MDM2', 'IRF1']
['AHSG', 'ITIH1', 'ITIH2', 'ALB', 'TNF']
['AHSP', 'GYPA', 'ERV3-1', 'ATAD1', 'PEX3']
['AICDA', 'RAG1', 'DNTT', 'CASP9', 'CASP3']
['AIF1', 'LST1', 'ABHD16A', 'HM13', 'SYVN1']
